25.91,0.48,11.4,14.69,15,89.15
29.97,4.14,11.34,9.03,23,236.47
67.06,11.39,12.21,12.91,18,432.56
64.01,13.23,9.64,9.66,17,229.36
140.97,15.64,10.55,11.91,20,770.13
87.88,18.0,11.14,6.39,17,425.45
39.12,18.11,11.01,15.74,14,223.27
24.89,14.27,10.87,18.09,16,153.67
27.94,11.19,11.31,21.4,10,78.99
17.02,7.84,9.68,25.46,5,21.34
17.02,2.43,9.41,24.37,5,26.92
28.7,-1.44,11.76,13.62,20,143.51
10.41,-2.36,11.55,13.6,20,59.69
28.7,3.2,11.36,14.08,22,139.45
40.89,8.02,11.19,14.85,22,117.35
134.62,14.12,9.34,19.02,11,291.59
61.98,14.98,12.71,10.64,16,279.65
19.3,18.08,10.86,15.74,15,48.51
91.19,17.37,9.02,8.38,27,457.2
66.29,13.46,10.69,11.39,18,187.45
17.02,10.09,9.9,5.71,24,89.66
26.92,5.28,10.31,11.56,19,153.42
7.11,1.67,10.68,16.75,10,30.99
26.92,-0.79,12.04,16.56,14,138.43
16,0.82,11.12,11.83,17,104.14
22.35,4.21,12.5,18.23,14,79.76
68.83,7.59,10.03,12.41,19,241.55
78.74,12.92,8.15,17.9,17,197.36
83.31,15.02,9.59,8.01,26,401.83
44.96,18.85,8.29,12.92,15,196.09
66.8,16.27,8.44,7.24,25,325.88
11.68,13.06,10.22,12.31,11,27.94
44.45,11.12,8.24,17.83,11,106.68
26.16,3.66,11.71,17.78,9,69.6
24.64,-0.09,11.97,10.98,18,127.76
77.98,-0.36,11.4,16.09,15,120.14
23.62,2.2,10.37,12.89,16,91.69
25.4,5.29,11.2,11.54,20,208.28
50.8,9.16,12.87,6.5,22,352.81
66.55,12.18,9.39,8.48,27,397
196.09,16.89,9.19,11.15,13,670.31
57.66,17.87,8.8,12.71,21,217.68
48.26,16.62,8.58,7.71,16,175.01
27.69,13.58,8.7,11.49,12,55.88
59.44,9.64,9.01,13.52,12,162.31
